"Date","rel_humidity_mean","temp_mean","solar_radiation_mean","Station","Latitude","Longitude","Data_source"
2015-01-01,70,-0.5708,91.1985833333333,"DCHI",39.73,-75.52,"SNTemp"
2015-01-02,70,1.132,101.132541666667,"DCHI",39.73,-75.52,"SNTemp"
2015-01-03,70,1,100.502583333333,"DCHI",39.73,-75.52,"SNTemp"
2015-01-04,70,6.628,115.573125,"DCHI",39.73,-75.52,"SNTemp"
2015-01-05,70,4.004,117.17225,"DCHI",39.73,-75.52,"SNTemp"
2015-01-06,70,-6.091,36.1256875,"DCHI",39.73,-75.52,"SNTemp"
2015-01-07,70,-8.572,36.3098291666667,"DCHI",39.73,-75.52,"SNTemp"
2015-01-08,70,-9.929,36.5085083333333,"DCHI",39.73,-75.52,"SNTemp"
2015-01-09,70,-5.107,58.8284166666667,"DCHI",39.73,-75.52,"SNTemp"
2015-01-10,70,-7.697,36.9349416666667,"DCHI",39.73,-75.52,"SNTemp"
2015-01-11,70,-5.574,72.8813333333333,"DCHI",39.73,-75.52,"SNTemp"
2015-01-12,70,0.68,46.11295,"DCHI",39.73,-75.52,"SNTemp"
2015-01-13,70,-1.388,44.9160291666667,"DCHI",39.73,-75.52,"SNTemp"
2015-01-14,70,-3.809,51.172,"DCHI",39.73,-75.52,"SNTemp"
2015-01-15,70,-1.337,75.0135,"DCHI",39.73,-75.52,"SNTemp"
2015-01-16,70,-0.09529,102.9255,"DCHI",39.73,-75.52,"SNTemp"
2015-01-17,70,-3.008,90.9078333333333,"DCHI",39.73,-75.52,"SNTemp"
2015-01-18,70,0.01403,109.564291666667,"DCHI",39.73,-75.52,"SNTemp"
2015-01-19,70,2.502,57.423125,"DCHI",39.73,-75.52,"SNTemp"
2015-01-20,70,2.249,117.463,"DCHI",39.73,-75.52,"SNTemp"
2015-01-21,70,-0.8188,90.2294166666667,"DCHI",39.73,-75.52,"SNTemp"
2015-01-22,70,0.3434,50.3966666666667,"DCHI",39.73,-75.52,"SNTemp"
2015-01-23,70,0.008048,108.207458333333,"DCHI",39.73,-75.52,"SNTemp"
2015-01-24,70,1.409,51.9473333333333,"DCHI",39.73,-75.52,"SNTemp"
2015-01-25,70,3.075,121.339666666667,"DCHI",39.73,-75.52,"SNTemp"
2015-01-26,70,-0.3212,98.1765833333333,"DCHI",39.73,-75.52,"SNTemp"
2015-01-27,70,-3.615,42.2798958333333,"DCHI",39.73,-75.52,"SNTemp"
2015-01-28,70,-3.501,76.758,"DCHI",39.73,-75.52,"SNTemp"
2015-01-29,70,-4.326,77.484875,"DCHI",39.73,-75.52,"SNTemp"
2015-01-30,70,-1.824,111.0665,"DCHI",39.73,-75.52,"SNTemp"
2015-01-31,70,-5.76,50.154375,"DCHI",39.73,-75.52,"SNTemp"
2015-02-01,70,-2.77,93.4276666666667,"DCHI",39.73,-75.52,"SNTemp"
2015-02-02,70,-0.02693,58.44075,"DCHI",39.73,-75.52,"SNTemp"
2015-02-03,70,-3.568,45.2649291666667,"DCHI",39.73,-75.52,"SNTemp"
2015-02-04,70,-0.3897,122.066541666667,"DCHI",39.73,-75.52,"SNTemp"
2015-02-05,70,-1.216,120.758166666667,"DCHI",39.73,-75.52,"SNTemp"
