"Date","Station","Latitude","Longitude","Data_source","solar_radiation_mean","solar_radiation_max","solar_radiation_sum","temp_mean","rel_humidity_mean","rainfall_sum"
2015-01-01,"DAGF",39.67,-75.75,"DEOS",114.541666666667,469,2749,0.908333333333333,44.0416666666667,0
2015-01-02,"DAGF",39.67,-75.75,"DEOS",62.9583333333333,324,1511,1.29166666666667,58.75,0
2015-01-03,"DAGF",39.67,-75.75,"DEOS",13.4166666666667,69,322,0.875,90.875,17.2
2015-01-04,"DAGF",39.67,-75.75,"DEOS",16.5833333333333,77,398,8.8625,93.4583333333333,10
2015-01-05,"DAGF",39.67,-75.75,"DEOS",95.0833333333333,486,2282,1.46666666666667,46.5416666666667,0
2015-01-06,"DAGF",39.67,-75.75,"DEOS",35.6666666666667,168,856,-6.71666666666667,80.7916666666667,0
2015-01-07,"DAGF",39.67,-75.75,"DEOS",109.541666666667,497,2629,-8.15833333333333,59.3333333333333,0.3
2015-01-08,"DAGF",39.67,-75.75,"DEOS",116.958333333333,485,2807,-10.4208333333333,47.5416666666667,0
2015-01-09,"DAGF",39.67,-75.75,"DEOS",103.458333333333,538,2483,-2.58333333333333,45.375,0.8
2015-01-10,"DAGF",39.67,-75.75,"DEOS",123.791666666667,503,2971,-8.5,48.375,0
2015-01-11,"DAGF",39.67,-75.75,"DEOS",111.833333333333,498,2684,-4.34583333333333,67.9583333333333,0
2015-01-12,"DAGF",39.67,-75.75,"DEOS",11.625,52,279,1.02916666666667,96.4166666666667,18.3
2015-01-13,"DAGF",39.67,-75.75,"DEOS",117.791666666667,506,2827,-1.825,54.2083333333333,0.3
2015-01-14,"DAGF",39.67,-75.75,"DEOS",53.0416666666667,276,1273,-3.575,68.4166666666667,0
2015-01-15,"DAGF",39.67,-75.75,"DEOS",103.375,435,2481,-1.1375,68.4166666666667,0
2015-01-16,"DAGF",39.67,-75.75,"DEOS",105.541666666667,468,2533,0.283333333333333,64.4583333333333,0
2015-01-17,"DAGF",39.67,-75.75,"DEOS",124.333333333333,496,2984,-3.68333333333333,51.7083333333333,0
2015-01-18,"DAGF",39.67,-75.75,"DEOS",6.83333333333333,33,164,0.679166666666667,96.9166666666667,38.9
2015-01-19,"DAGF",39.67,-75.75,"DEOS",74.0416666666667,424,1777,2.77083333333333,72.4166666666667,0
2015-01-20,"DAGF",39.67,-75.75,"DEOS",63.25,296,1518,1.9125,75.6666666666667,0
2015-01-21,"DAGF",39.67,-75.75,"DEOS",31.75,168,762,-1.58333333333333,85.3333333333333,0
2015-01-22,"DAGF",39.67,-75.75,"DEOS",57.2083333333333,428,1373,0.641666666666667,87.2083333333333,1.1
2015-01-23,"DAGF",39.67,-75.75,"DEOS",92.5416666666667,415,2221,0.4875,79.8333333333333,0.3
2015-01-24,"DAGF",39.67,-75.75,"DEOS",33.4166666666667,154,802,1.47916666666667,90.4166666666667,23.5
2015-01-25,"DAGF",39.67,-75.75,"DEOS",92.25,465,2214,4,72.75,0
2015-01-26,"DAGF",39.67,-75.75,"DEOS",32.7916666666667,130,787,-1.68333333333333,84.1666666666667,0
2015-01-27,"DAGF",39.67,-75.75,"DEOS",116.666666666667,532,2800,-2.2,62.75,0.6
2015-01-28,"DAGF",39.67,-75.75,"DEOS",146,570,3504,-4.19166666666667,42.6666666666667,0
2015-01-29,"DAGF",39.67,-75.75,"DEOS",69.75,303,1674,-3.45833333333333,65.875,0
2015-01-30,"DAGF",39.67,-75.75,"DEOS",110.041666666667,551,2641,-0.145833333333333,62.1666666666667,0.3
2015-01-31,"DAGF",39.67,-75.75,"DEOS",148.125,570,3555,-6.55,48.75,0
2015-02-01,"DAGF",39.67,-75.75,"DEOS",92.5416666666667,445,2221,-1.19166666666667,65.25,0
2015-02-02,"DAGF",39.67,-75.75,"DEOS",23.4166666666667,104,562,0.5125,83.7916666666667,23.2
2015-02-03,"DAGF",39.67,-75.75,"DEOS",140.791666666667,595,3379,-4.95416666666667,52.75,0
2015-02-04,"DAGF",39.67,-75.75,"DEOS",150.5,595,3612,0.991666666666667,64.625,0
2015-02-05,"DAGF",39.67,-75.75,"DEOS",111.583333333333,492,2678,-2.34583333333333,53.5,0
2015-02-06,"DAGF",39.67,-75.75,"DEOS",120.041666666667,495,2881,-5.54166666666667,49.5416666666667,0
2015-02-07,"DAGF",39.67,-75.75,"DEOS",107.708333333333,484,2585,-0.2375,58.4166666666667,0
2015-02-08,"DAGF",39.67,-75.75,"DEOS",101.166666666667,578,2428,3.90833333333333,67.9583333333333,0
2015-02-09,"DAGF",39.67,-75.75,"DEOS",17.125,72,411,-0.358333333333333,95.0833333333333,0
2015-02-10,"DAGF",39.67,-75.75,"DEOS",113.25,563,2718,-0.320833333333333,79.375,0.6
2015-02-11,"DAGF",39.67,-75.75,"DEOS",162.375,633,3897,-0.5125,60.0833333333333,0
2015-02-12,"DAGF",39.67,-75.75,"DEOS",74.5,405,1788,-0.683333333333333,63.7916666666667,0
2015-02-13,"DAGF",39.67,-75.75,"DEOS",176.041666666667,645,4225,-8.75,46.4583333333333,0
2015-02-14,"DAGF",39.67,-75.75,"DEOS",42.2083333333333,163,1013,-4.63333333333333,77.4166666666667,0
2015-02-15,"DAGF",39.67,-75.75,"DEOS",179.833333333333,667,4316,-12.2208333333333,45.2916666666667,0
2015-02-16,"DAGF",39.67,-75.75,"DEOS",109.708333333333,425,2633,-12.9625,50.4166666666667,0
2015-02-17,"DAGF",39.67,-75.75,"DEOS",170.791666666667,659,4099,-8.50416666666667,75.7916666666667,2.7
2015-02-18,"DAGF",39.67,-75.75,"DEOS",169.125,675,4059,-6.56666666666667,59.5833333333333,2.4
2015-02-19,"DAGF",39.67,-75.75,"DEOS",148.333333333333,695,3560,-10.425,45.1666666666667,0
2015-02-20,"DAGF",39.67,-75.75,"DEOS",199.625,717,4791,-13.4958333333333,41.625,0
2015-02-21,"DAGF",39.67,-75.75,"DEOS",49,190,1176,-8.20416666666667,81.7916666666667,0.3
2015-02-22,"DAGF",39.67,-75.75,"DEOS",140.208333333333,645,3365,2.03333333333333,87,16.3
2015-02-23,"DAGF",39.67,-75.75,"DEOS",121.791666666667,672,2923,-3.64166666666667,45.5416666666667,0
2015-02-24,"DAGF",39.67,-75.75,"DEOS",197.625,716,4743,-9.24166666666667,59.2083333333333,0
2015-02-25,"DAGF",39.67,-75.75,"DEOS",179.291666666667,672,4303,-3.34166666666667,64.3333333333333,0
2015-02-26,"DAGF",39.67,-75.75,"DEOS",124.583333333333,550,2990,-2.025,66.5,0
2015-02-27,"DAGF",39.67,-75.75,"DEOS",175.75,725,4218,-4.15416666666667,63.0416666666667,0
2015-02-28,"DAGF",39.67,-75.75,"DEOS",186.75,727,4482,-6.02916666666667,44.4583333333333,0
2015-03-01,"DAGF",39.67,-75.75,"DEOS",38.2083333333333,191,917,-4.075,84.3333333333333,0.8
2015-03-02,"DAGF",39.67,-75.75,"DEOS",188.208333333333,720,4517,0.4625,70.3333333333333,1.4
2015-03-03,"DAGF",39.67,-75.75,"DEOS",75.25,405,1806,-2.08333333333333,72.625,0
2015-03-04,"DAGF",39.67,-75.75,"DEOS",46.75,208,1122,3.09583333333333,98.4166666666667,24.9
2015-03-05,"DAGF",39.67,-75.75,"DEOS",29.0416666666667,155,697,-2.50416666666667,92.6666666666667,3.6
2015-03-06,"DAGF",39.67,-75.75,"DEOS",232.375,789,5577,-8.5125,61.5,6.6
2015-03-07,"DAGF",39.67,-75.75,"DEOS",202.5,766,4860,-3.4875,67.0416666666667,2.1
2015-03-08,"DAGF",39.67,-75.75,"DEOS",220.5,770,5292,3.42083333333333,63.6666666666667,0
2015-03-09,"DAGF",39.67,-75.75,"DEOS",210.791666666667,744,5059,5.525,68.1666666666667,0
2015-03-10,"DAGF",39.67,-75.75,"DEOS",89.4583333333333,445,2147,5.52916666666667,88.9583333333333,15.3
